hatid,product_name,brand,hatcolor,gender,weather,distance,price,allergies,ecofriendly,designpreference,hatfeatures,preferencescore,description,image,link
11,THE NORTH FACE Horizon Hat,north_face,"black,blue,white,gray","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",28,nylon,yes,"minimal,casual","adjustable,lightweight,machine_washable,ponytail_compatible,quick_dry",6.8839,"Lightweight black outdoor hat with adjustable buckle strap, breathable fabric, and subtle logo.",https://m.media-amazon.com/images/I/61fBPThF23L._AC_SX679_.jpg,https://amzn.to/4i1m6xa
12,Running Hat for Men - Dry Fit,outdoor_essentials,"black,gray,blue,white","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",10,polyester,no,"minimal,casual","adjustable,lightweight,sun_protection,breathable,quick_dry,ponytail_compatible",6.7336,"Breathable, sweat-wicking cap designed for running, tennis, and workouts, offering a dry fit for men and women with a comfortable, lightweight design.",https://m.media-amazon.com/images/I/71ZsO0oQtTL._AC_SX679_.jpg,https://amzn.to/4ljzKyk
13,Ciele Athletics ALZCap,ciele,"white, pink, yellow","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",40,polyester,yes,"minimal,casual","adjustable,sun_protection,lightweight,breathable,quick_dry,machine_washable,water_resistant,ponytail_compatible,flat_brim",5.9899,"Designed for performance and style, the Ciele Athletics ALZCap is a lightweight, breathable running cap with Coolmatic™ moisture-wicking fabric to keep you cool and dry. Featuring a lower-profile fit, UPF +40 sun protection, and reflective details for night runs, this cap is perfect for short sprints or long marathons. Packable and washable, it’s built for all-day comfort with an adjustable fit for smaller head sizes. Stay protected, run further, and move with confidence. #runninggear #moisturewicking #sunprotection",https://m.media-amazon.com/images/I/51vYCB3u0rL._AC_SX679_.jpg,https://amzn.to/3FQjogD
14,Alter Ego Cruiser Splash Running Hat – Lightweight,alter_ego,"yellow,black,blue,pink,white","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",49,none,no,bold,"adjustable,sun_protection,lightweight,breathable,quick_dry,water_resistant,ponytail_compatible,flat_brim",5.0871,"Colorful, lightweight running hat with splash design and water-repellent fabric, designed for active runners.",https://m.media-amazon.com/images/I/81XIkvpJVCL._AC_SX679_.jpg,https://amzn.to/4cC5JWD
15,Sprints Race Day Performance Running Cap,sprints,"blue,black,white,orange,red,beige,pink,yellow,green,white,purple,gray","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",32,polyester,no,"minimal,casual,bold","lightweight,breathable,machine_washable,ponytail_compatible",6.837,"Lightweight, quick-dry running cap with vibrant patterns and breathable mesh panels, designed for runners.",https://m.media-amazon.com/images/I/610Cs8PAF+L._AC_SX679_.jpg,https://amzn.to/42sj9Qs
16,100% Merino Wool Cuff Beanie - Mens & Womens Warm Winter Hat,minus33,"gray,black,orange,pink,red,green,beige,white,purple,blue","mens,female,non_binary","cold,windy,rainy","minimum,medium,max",23,wool,yes,"minimal,casual","machine_washable,lightweight,sun_protection,breathable",6.689,"Charcoal gray cuffed beanie made from 100% Merino wool, offering warmth and breathability for cold-weather activities.",https://m.media-amazon.com/images/I/7190HpNc4dL._AC_SX679_.jpg,https://amzn.to/4jyXNaU
17,TrailHeads Performance Men's Running Hat,trailheads,"white,black,yellow,gray,red,blue","mens,non_binary","hot,humid,windy","minimum,medium,max",20,polyester,no,minimal,"lightweight,breathable,adjustable,machine_washable,ponytail_compatible",6.4651,"Lightweight, breathable running hat with reflective accents and dark underbill to reduce glare.",https://m.media-amazon.com/images/I/81GG7hgJx7L._AC_SX522_.jpg,https://amzn.to/3Rq9AfP
18,Salomon Bonatti Waterproof Five Panel,salamon,"black,yellow,blue","mens,female,non_binary","hot,humid,windy,rainy","minimum,medium,max",37,polyester,no,"minimal,casual","lightweight,breathable,adjustable,machine_washable,ponytail_compatible",6.0858,"Salomon Bonatti Waterproof Five Panel Hat in black, designed for urban and trail adventures with a sleek, modern look.",https://m.media-amazon.com/images/I/91wStHwswtL._AC_SX522_.jpg,https://amzn.to/4jll6FI
,,,,,,,,,,,,,,,
19,TrailHeads Fleece Ponytail Hat for Women – Trailblazer Reflective Winter Hat with Ponytail Hole,trailheads,"black,blue,gray,green,orange,pink,purple",female,"windy,rainy,cold","minimum,medium,max",28,"polyester,spandex",no,"minimal,casual","machine_washable,ponytail_compatible",6.15,"TrailHeads women's fleece ponytail hat in purple with reflective band, featuring a mid-high ponytail slot and two-layer earband for added warmth during winter workouts.",https://m.media-amazon.com/images/I/7102TjzXgIL._AC_SX679_.jpg,https://amzn.to/4jzhHCG
20,Smartwool Thermal Merino Reversible Cuffed Beanie,smartwool,"black,purple,gray,red,green,pink,blue","mens,female,non_binary","windy,cold","minimum,medium,max",35,wool,yes,"minimal,casual","quick_dry,machine_washable",6.986,"Smartwool Thermal Merino Reversible Cuffed Beanie in charcoal gray, featuring a double-layered design for warmth and a reversible style suitable for cold-weather running.",https://m.media-amazon.com/images/I/A1TO6Q1yraL._AC_SX679_.jpg,https://amzn.to/42jS4jB
21,On Men's Lightweight Cap,on,"blue,black","mens,non_binary","hot,humid,windy,rainy","minimum,medium,max",60,polyester,yes,"minimal,casual","lightweight,breathable,adjustable,machine_washable,ponytail_compatible",6.222,"Navy blue On Men's Lightweight Cap featuring laser-cut ventilation, adjustable strap, and reflective logo, designed for optimal performance in various weather conditions.",https://m.media-amazon.com/images/I/51uOFv4TqKL._AC_SX679_.jpg,https://amzn.to/3Y6YyQr
22,Outdoor Research Swift Air Cap,outdoor_research,"black,white","mens,female,non_binary","hot,humid,windy","minimum,medium,max",32,polyester,yes,"minimal,casual","adjustable,sun_protection,lightweight,breathable,quick_dry,water_resistant,ponytail_compatible,flat_brim",5.1054,"Outdoor Research Swift Air Cap in black, featuring mesh panels and a flexible brim, ideal for high-output activities in warm weather.",https://m.media-amazon.com/images/I/71mLp4tz7xL._AC_SX679_.jpg,https://amzn.to/4izUT56
