shoeid,product_name,brand,shoecolor,gender,distance,terrain,price,ecofriendly,stackheight,stability,shoeweight,heeltoedrop,shoe_preference,preferencescore,description,image,link
17,ASICS Men's Gel-Kayano 31 Running Shoes,asics,"black,gray,green,white,blue,orange,red","mens,non_binary","minimum,medium,max","road,treadmill,track",165,yes,40,stability,10.7,10,"wide_foot,carbon_plate",7.375,"ASICS Men's Gel-Kayano 31 running shoes provide stable support and plush cushioning, featuring GEL technology and FF BLAST PLUS ECO foam for a smooth, comfortable ride.",https://m.media-amazon.com/images/I/51YUgZeaerL._AC_SY625_.jpg,https://amzn.to/449hC43
18,HOKA Clifton 9 Men's Running Shoes,hoka,"black,gray,yellow,blue,orange","mens,non_binary","minimum,medium,max","road,treadmill,track",190,no,32.7,neutral,8.7,5,wide_foot,6.92,"HOKA Clifton 9 running shoes offer a lightweight, cushioned ride with a plush midsole and breathable upper for all-day comfort and support.",https://m.media-amazon.com/images/I/61WY5iaXJyL._AC_SX625_.jpg,https://amzn.to/4lfqnQr
19,New Balance Men's Fresh Foam X 1080 V14,new_balance,"black,white,gray,blue,yellow,green,orange","mens,non_binary","minimum,medium,max","road,treadmill,track",165,no,38,neutral,10.5,6,"wide_foot,wide_toe_box",6.9795,New Balance Men's Fresh Foam X 1080 V14 running shoes feature plush Fresh Foam cushioning and a lightweight design for exceptional comfort and support during long runs.,https://m.media-amazon.com/images/I/51cCCnxBS0L._AC_SY625_.jpg,https://amzn.to/3YiEpGX
20,"Nike Men's Low-top Running Shoe, 0",nike,"black,white,gray,red,blue,purple,green","mens,non_binary","minimum,medium","road,treadmill,track",92,no,39,neutral,6.6,5,none,6.38,"The Nike Men's Low-top Running Shoe offers breathable engineered mesh and a responsive midsole for daily road runs. Best for 5K to 10K distances, it provides a comfortable neutral ride at an affordable price point.",https://m.media-amazon.com/images/I/718UHZnqIiL._AC_SX695_.jpg,https://amzn.to/42a9Tl2
21,On Cloudstratus,on,"black,white,blue","mens,non_binary","minimum,medium,max","road,treadmill,track",200,yes,32,neutral,10.7,8,none,6.245,"On Cloudstratus running shoes are designed for maximum comfort and performance, featuring dual CloudTec layers and a responsive midsole for a smooth, cushioned ride.",https://m.media-amazon.com/images/I/61RuMsc5RfL._AC_SX625_.jpg,https://amzn.to/3RmCygJ
22,HOKA ONE ONE Men's Gaviota 5,hoka,"black,gray,green,white,blue,orange","mens,non_binary","minimum,medium,max","road,treadmill,track",234,yes,40,stability,10.9,6,"wide_foot,wide_toe_box",6.917,"The HOKA Gaviota 5 is a premium stability trainer with plush cushioning, J-Frame+ support, and a smooth ride. Perfect for road runners seeking comfort over long miles with eco-conscious design and max stack height.",https://m.media-amazon.com/images/I/71tPv7FhBLL._AC_SY625_.jpg,https://amzn.to/3G1zVyt
23,ASICS Unisex METASPEED Edge Paris Running Shoe,asics,"white,blue,red,yellow","female,mens,non_binary","minimum,medium,max","road,treadmill,track",250,yes,39,neutral,6.5,5,carbon_plate,6.4685,"ASICS Unisex METASPEED Edge Paris Running Shoe – a high-performance running shoe designed for speed, featuring a lightweight construction, responsive FlyteFoam Propel technology for energy return, and a carbon-fiber plate for enhanced propulsion and efficiency during races.",https://m.media-amazon.com/images/I/61+ldnVQZFL._AC_SY625_.jpg,https://amzn.to/4ldoXpm
24,ALTRA Men's Lone Peak 8 Trail Running Shoe,altra,"blue,yellow,beige,green,gray,black","mens,non_binary","minimum,medium,max",trail,120,yes,25,neutral,10.7,0,"wide_foot,wide_toe_box",7.49,"The ALTRA Lone Peak 8 is a zero-drop trail running shoe designed with a foot-shaped toe box, grippy outsole, and cushioned ride for long miles on rugged terrain.",https://m.media-amazon.com/images/I/61y-+y3AYXL._AC_SY625_.jpg,https://amzn.to/4jvUnG8
25,ALTRA Men's Paradigm 7 Road Running Shoe,altra,"blue,black,white,gray,yellow","mens,non_binary","medium,max","road,treadmill",140,no,30,stability,10.35,0,"wide_foot,wide_toe_box",6.594,"The ALTRA Men's Paradigm 7 is a zero-drop road running shoe offering maximum cushioning, adaptive stability, and a roomy toe box for long-distance comfort.",https://m.media-amazon.com/images/I/71SXfn9R5QL._AC_SY695_.jpg,https://amzn.to/4ihbp9O
26,ALTRA Women's Paradigm 7 Road Running Shoe,altra,"black,blue,purple,gray,orange,white,green","female,non_binary","medium,max","road,treadmill",170,no,30,stability,8.2,0,"wide_foot,wide_toe_box",6.769,"The ALTRA Women's Paradigm 7 is a zero-drop road running shoe offering maximum cushioning, adaptive stability, and a roomy toe box for long-distance comfort.",https://m.media-amazon.com/images/I/715IgmHc3sL._AC_SY695_.jpg,https://amzn.to/3GrrZX6
27,Saucony Women's Guide 18 Sneaker,saucony,"pink,white,black,gray,green,yellow,orange,blue","female,non_binary","medium,max","road,treadmill",140,yes,35,stability,8.6,6,wide_foot,6.637,"The Saucony Women's Guide 18 is a stability road running shoe featuring PWRRUN cushioning, CenterPath Technology, and a breathable mesh upper for comfortable, long-distance runs.",https://m.media-amazon.com/images/I/61ieCtGG5QL._AC_SY695_.jpg,https://amzn.to/3YqW0Nh
28,Saucony Men's Guide 18 Sneaker,saucony,"black,gray,blue,white","mens,non_binary","medium,max","road,treadmill",140,yes,35,stability,9.6,6,wide_foot,6.637,"The Saucony Men's Guide 18 is a stability road running shoe featuring PWRRUN cushioning, CenterPath Technology, and a breathable mesh upper for comfortable, long-distance runs.",https://m.media-amazon.com/images/I/81lK+FfPxOL._AC_SY695_.jpg,https://amzn.to/4lz51xz
29,ASICS Men's Gel-Trabuco 13 Running Shoes,asics,"beige,blue,green,red,orange,black","mens,non_binary","minimum,medium,max",trail,140,yes,30,stability,11,8,"wide_foot,wide_toe_box",6.545,"ASICS Men's Gel-Trabuco 13 Trail Running Shoes offer a stable and comfortable ride with a wide toe box, durable construction, and versatile performance for various distances and terrains.",https://m.media-amazon.com/images/I/610ILnME4mL._AC_SY500_.jpg,https://amzn.to/42wx8EQ
30,ASICS Women's Gel-Trabuco 13 Sneaker,asics,"red,black,purple,pink,blue","female,non_binary","minimum,medium,max",trail,140,yes,34.5,stability,10.8,8,"wide_foot,wide_toe_box",6.636,"ASICS Women's Gel-Trabuco 13 trail running shoes featuring a breathable mesh upper, FF BLAST™ PLUS ECO cushioning, and ASICSGRIP™ outsole for enhanced traction on rugged terrains.",https://m.media-amazon.com/images/I/61hYT4pLqoL._AC_SY500_.jpg,https://amzn.to/4cI6nCg
31,Brooks Men's Glycerin Max Sneaker,brooks,"blue,purple,black,white,beige","mens,non_binary","minimum,medium,max","road,treadmill,track",200,no,32,neutral,10.9,10,none,6.83,The Brooks Glycerin Max Sneaker is designed for road runners seeking plush cushioning and long-lasting comfort for medium to long-distance runs.,https://m.media-amazon.com/images/I/71HmaQwvXnL._AC_SX500_.jpg,https://amzn.to/42jvA28
32,Brooks Women's Glycerin Max Sneaker,brooks,white,"female,non_binary","minimum,medium,max","road,treadmill,track",200,no,33,neutral,9.4,10,none,6.83,"The Brooks Women's Glycerin Max Sneaker offers exceptional cushioning, support, and durability for runners seeking comfort during long-distance road runs.",https://m.media-amazon.com/images/I/71gO0cqcsTL._AC_SX500_.jpg,https://amzn.to/4jflFkn
